id,semester,slot_start_date,slot_end_date,location_ar,location_en,slots,type,show,display_order
,1,2017-09-13 13:00:00,2017-09-13 16:20:00,مبنى: 58 - قاعة: 3047,Building: 58 - Room: 3047,20,ENGLISH_SPEAKING_TEST,1,1050
,1,2017-09-13 13:00:00,2017-09-13 16:20:00,مبنى: 58 - قاعة: 3048,Building: 58 - Room: 3048,20,ENGLISH_SPEAKING_TEST,1,1060
,1,2017-09-13 13:00:00,2017-09-13 16:20:00,مبنى: 58 - قاعة: 3049,Building: 58 - Room: 3049,20,ENGLISH_SPEAKING_TEST,1,1070
,1,2017-09-13 13:00:00,2017-09-13 16:20:00,مبنى: 58 - قاعة: 3050,Building: 58 - Room: 3050,20,ENGLISH_SPEAKING_TEST,1,1080
,1,2017-09-13 13:00:00,2017-09-13 16:20:00,مبنى: 58 - قاعة: 3057,Building: 58 - Room: 3057,20,ENGLISH_SPEAKING_TEST,1,1090
,1,2017-09-13 13:00:00,2017-09-13 16:20:00,مبنى: 58 - قاعة: 3059,Building: 58 - Room: 3059,20,ENGLISH_SPEAKING_TEST,1,1100
,1,2017-09-13 13:00:00,2017-09-13 16:20:00,مبنى: 57 - قاعة: 303,Building: 57 - Room: 303,20,ENGLISH_SPEAKING_TEST,1,1110
,1,2017-09-13 13:00:00,2017-09-13 16:20:00,مبنى: 57 - قاعة: 316,Building: 57 - Room: 316,20,ENGLISH_SPEAKING_TEST,1,1120
,1,2017-09-13 13:00:00,2017-09-13 16:20:00,مبنى: 57 - قاعة: 317,Building: 57 - Room: 317,20,ENGLISH_SPEAKING_TEST,1,1130
,1,2017-09-13 13:00:00,2017-09-13 16:20:00,مبنى: 57 - قاعة: 318,Building: 57 - Room: 318,20,ENGLISH_SPEAKING_TEST,1,1140
,1,2017-09-13 13:00:00,2017-09-13 16:20:00,مبنى: 57 - قاعة: 319,Building: 57 - Room: 319,20,ENGLISH_SPEAKING_TEST,1,1150
,1,2017-09-13 13:00:00,2017-09-13 16:20:00,مبنى: 57 - قاعة: 321,Building: 57 - Room: 321,20,ENGLISH_SPEAKING_TEST,1,1160
,1,2017-09-13 13:00:00,2017-09-13 16:20:00,مبنى: 57 - قاعة: 323,Building: 57 - Room: 323,20,ENGLISH_SPEAKING_TEST,1,1170
,1,2017-09-13 13:00:00,2017-09-13 16:20:00,مبنى: 57 - قاعة: 219,Building: 57 - Room: 219,20,ENGLISH_SPEAKING_TEST,1,1180
,1,2017-09-13 13:00:00,2017-09-13 16:20:00,مبنى: 57 - قاعة: 221,Building: 57 - Room: 221,20,ENGLISH_SPEAKING_TEST,1,1190
,1,2017-09-13 13:00:00,2017-09-13 16:20:00,مبنى: 57 - قاعة: 215,Building: 57 - Room: 215,20,ENGLISH_SPEAKING_TEST,1,1200
,1,2017-09-13 13:00:00,2017-09-13 16:20:00,مبنى: 57 - قاعة: 217,Building: 57 - Room: 217,20,ENGLISH_SPEAKING_TEST,1,1210
